epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1142.59,0.76664,0.6869,1.14813,0.74691,0.71333,0.71831,0.57572,0.99553,0.82209,1.24018,0.008812,0.008812,0.008812
62,1161.2,0.7632,0.67543,1.14891,0.72727,0.69878,0.70772,0.56755,1.0104,0.82257,1.25725,0.0087922,0.0087922,0.0087922
63,1179.99,0.75845,0.67167,1.14342,0.70528,0.67754,0.6942,0.56633,0.99201,0.8817,1.2395,0.0087724,0.0087724,0.0087724
64,1198.67,0.76908,0.67876,1.14674,0.73782,0.67916,0.71175,0.57467,0.98563,0.86237,1.20729,0.0087526,0.0087526,0.0087526
65,1217.37,0.75978,0.66033,1.1453,0.77296,0.67172,0.70396,0.57272,0.99671,0.86831,1.22592,0.0087328,0.0087328,0.0087328
66,1236.17,0.75905,0.66636,1.14355,0.72647,0.69675,0.69865,0.56638,0.99752,0.87299,1.25056,0.008713,0.008713,0.008713
67,1254.7,0.76451,0.6698,1.14773,0.7823,0.68139,0.70634,0.58398,0.97113,0.83488,1.21518,0.0086932,0.0086932,0.0086932
68,1273.34,0.76259,0.67118,1.14624,0.74447,0.7155,0.71688,0.58445,0.99993,0.82686,1.25349,0.0086734,0.0086734,0.0086734
69,1291.98,0.75981,0.66163,1.14369,0.75849,0.67541,0.6963,0.56851,0.96331,0.84383,1.2277,0.0086536,0.0086536,0.0086536
70,1310.66,0.75879,0.65549,1.14109,0.72442,0.71386,0.70957,0.57428,0.95538,0.85963,1.21427,0.0086338,0.0086338,0.0086338
71,1329.25,0.74757,0.64966,1.1403,0.6924,0.73492,0.71256,0.5734,0.99801,0.80464,1.2647,0.008614,0.008614,0.008614
72,1347.95,0.74631,0.64682,1.13678,0.72597,0.69898,0.69812,0.56393,0.98867,0.82109,1.25078,0.0085942,0.0085942,0.0085942
73,1366.64,0.76207,0.66276,1.14234,0.7069,0.70399,0.70262,0.57261,0.9785,0.8252,1.2583,0.0085744,0.0085744,0.0085744
74,1385.76,0.74668,0.63865,1.12963,0.74699,0.69497,0.71257,0.5751,0.99039,0.82708,1.24742,0.0085546,0.0085546,0.0085546
75,1404.63,0.73741,0.6455,1.13457,0.69142,0.71747,0.70412,0.57412,0.97324,0.83092,1.2496,0.0085348,0.0085348,0.0085348
76,1423.55,0.74339,0.65201,1.12988,0.76198,0.66745,0.70415,0.57384,0.98944,0.83651,1.21711,0.008515,0.008515,0.008515
77,1442.66,0.74328,0.64133,1.13309,0.68744,0.7042,0.6943,0.56096,0.97083,0.88527,1.23981,0.0084952,0.0084952,0.0084952
78,1461.31,0.73538,0.63788,1.13011,0.77992,0.66429,0.70847,0.5785,0.98335,0.82638,1.22586,0.0084754,0.0084754,0.0084754
79,1479.81,0.74232,0.63342,1.12533,0.72576,0.68828,0.69646,0.56475,0.95558,0.87395,1.20319,0.0084556,0.0084556,0.0084556
